,MONTH,DAY,DAY_OF_WEEK,FLIGHT_NUMBER,SCHEDULED_DEPARTURE,DEPARTURE_TIME,DEPARTURE_DELAY,TAXI_OUT,WHEELS_OFF,SCHEDULED_TIME,ELAPSED_TIME,AIR_TIME,DISTANCE,WHEELS_ON,TAXI_IN,SCHEDULED_ARRIVAL,ARRIVAL_TIME,ARRIVAL_DELAY,DIVERTED,CANCELLED,AIR_SYSTEM_DELAY,SECURITY_DELAY,AIRLINE_DELAY,LATE_AIRCRAFT_DELAY,WEATHER_DELAY
MONTH,1.0,-0.34796794555540383,-0.031341069160384344,-0.008263332361658602,-0.0038444217402949306,-0.0005986452017453542,0.043723905785504315,0.010161733416397825,-0.0013873360428242468,0.0015937797384984783,0.006689860462965828,0.004891124122157085,0.002874556613454766,-0.006591236091202142,0.007595733536170405,-0.00821112698040769,-0.00745309475987593,0.04547853007754998,0.01002609173879358,0.05918355292481362,0.0060959945784039085,-0.00520134814523535,0.012723834784444348,0.007935692239983838,0.020690665524323804
DAY,-0.34796794555540383,1.0,0.01598766238433512,0.009255123482733297,-0.007890529375161989,-0.01354058726496336,-0.07300201228983709,-0.008308521353955293,-0.01242996246834466,-0.004845270331865043,-0.014947595644632794,-0.01166347593904806,-0.006916477796602709,0.0008110309301694333,-0.03000948432286996,-0.0017692940355284626,0.0019799202348550603,-0.07947171986465179,-0.010393988129225883,-0.013325500556001357,-0.011028751437402546,-0.0011734050531891636,-0.006618586607807111,-0.03867687708670934,-0.01092160884240165
DAY_OF_WEEK,-0.031341069160384344,0.01598766238433512,1.0,0.014241009783987858,0.020228610492663255,0.014293740911885858,-0.001220390367112162,-0.02083853168150264,0.012354137500032843,0.017757954002715497,0.016241860302756816,0.019612960888175057,0.020441409226258474,0.0077358232094469105,0.0009868662307534464,0.01629102202588229,0.007098856293905213,-0.006547544113479321,0.003898201262443169,-0.03406871164749214,-0.001847489638419136,0.00857809834009002,0.012256602413846296,0.000277300671646274,-0.008543088814181804
FLIGHT_NUMBER,-0.008263332361658602,0.009255123482733297,0.014241009783987858,1.0,-0.0025563452142417847,0.003482689212115884,0.01024837451212506,0.04249017830799854,0.00980645625755197,-0.33220426994978647,-0.31836401059608543,-0.3332263266118176,-0.34891782743507666,-0.014692856945083375,-0.003562256390919284,-0.025092979713418444,-0.01101648356838319,0.03530985681621114,0.0050103911093390885,0.03643252691622802,-0.018555407258844494,-0.006801716802700073,0.0017198855217309538,0.05147285531037445,-0.00843125574161364
SCHEDULED_DEPARTURE,-0.0038444217402949306,-0.007890529375161989,0.020228610492663255,-0.0025563452142417847,1.0,0.9689643467916057,0.09688065040374255,-0.07177949900972387,0.9449782083686094,-0.03191059396932131,-0.03490577183321125,-0.0216305531207159,-0.013706169566552155,0.699669097808427,-0.04778047405682021,0.7665597292018158,0.674740821220018,0.08426742611265815,-0.006694508136597085,0.0017298983737750304,-0.10484295318508294,0.0006616824651257286,-0.07225062655032281,0.14858857061111322,-0.04296594720828381
DEPARTURE_TIME,-0.0005986452017453542,-0.01354058726496336,0.014293740911885858,0.003482689212115884,0.9689643467916057,1.0,0.17512531691512778,-0.060014056211598464,0.9736088567977215,-0.035101501755455566,-0.03732585578611571,-0.026254543523666254,-0.020814818638666258,0.7153078455910572,-0.042142473191419526,0.766414761252491,0.6894941932922406,0.15922831533189907,-0.004855846769538025,0.00832030707070166,-0.09164746068138421,0.0038831923668511178,-0.003803488186626808,0.2137543730249866,-0.025104237975300977
DEPARTURE_DELAY,0.043723905785504315,-0.07300201228983709,-0.001220390367112162,0.01024837451212506,0.09688065040374255,0.17512531691512778,1.0,0.09128514595895934,0.16788027794107926,0.02555303875431607,0.034368460682647504,0.01985615149769991,0.020002409354236948,0.07420494567576562,0.03134956210779094,0.09278486888253092,0.06555333266289624,0.9416761330481471,0.0235061777763752,0.041705306999721,0.06411722628517677,0.010367729334664864,0.6156956438829142,0.5565246385527259,0.2973810205451476
TAXI_OUT,0.010161733416397825,-0.008308521353955293,-0.02083853168150264,0.04249017830799854,-0.07177949900972387,-0.060014056211598464,0.09128514595895934,1.0,-0.03141977910346803,0.10123613484022906,0.21177927289400855,0.07692335946783152,0.05882684921479676,-0.040909760525345285,0.012351386301440182,-0.050843081970024816,-0.04220676806311001,0.27744214602361433,0.0156732457323265,0.006291985118293457,0.4237348641741044,-0.008988628136127224,-0.054937792837568986,-0.12772244829541635,0.130103681528282
WHEELS_OFF,-0.0013873360428242468,-0.01242996246834466,0.012354137500032843,0.00980645625755197,0.9449782083686094,0.9736088567977215,0.16788027794107926,-0.03141977910346803,1.0,-0.04172831359373238,-0.04084111424365318,-0.033986255016504395,-0.03182407401996803,0.7333328075040338,-0.04080271785113929,0.7752214550337072,0.7074209885227175,0.15798862083840767,-0.004361951561411431,0.0056530723981135485,-0.07382423970241535,-0.0020658924443796023,-0.012786246604011342,0.19086638367577466,-0.028007327198365087
SCHEDULED_TIME,0.0015937797384984783,-0.004845270331865043,0.017757954002715497,-0.33220426994978647,-0.03191059396932131,-0.035101501755455566,0.02555303875431607,0.10123613484022906,-0.04172831359373238,1.0,0.9818783642319712,0.9900251528638545,0.9777998329317185,0.03255023148013333,0.07017642993579866,0.04685178803072768,0.029704755094958006,-0.028794458234793683,0.020422768922239726,-0.025863871348340395,0.042575239511929465,0.007026086641521603,0.040426634617160236,-0.06091738906682169,0.01358395059548996
